id,label
TEST_104,훼손
TEST_105,오염
TEST_106,가구수정
TEST_107,훼손
TEST_108,훼손
TEST_109,훼손
TEST_110,터짐
TEST_111,훼손
TEST_112,훼손
TEST_113,훼손
TEST_114,오염
TEST_115,오염
TEST_116,훼손
TEST_117,훼손
TEST_118,오타공
TEST_119,훼손
TEST_120,오염
TEST_121,훼손
TEST_122,훼손
TEST_123,꼬임
TEST_124,오염
TEST_125,훼손
TEST_126,훼손
TEST_127,훼손
TEST_128,훼손
TEST_129,터짐
TEST_130,오염
TEST_131,훼손
TEST_132,꼬임
TEST_133,오염
TEST_134,오타공
TEST_135,오염
TEST_136,면불량
TEST_137,훼손
TEST_138,훼손
TEST_139,터짐
TEST_140,면불량
TEST_141,훼손
TEST_142,훼손
TEST_143,오염
TEST_144,석고수정
TEST_145,훼손
TEST_146,훼손
TEST_147,훼손
TEST_148,훼손
TEST_149,터짐
TEST_150,훼손
TEST_151,오염
TEST_152,훼손
TEST_153,훼손
TEST_154,훼손
TEST_155,이음부불량
TEST_156,오염
TEST_157,곰팡이
TEST_158,석고수정
TEST_159,훼손
TEST_160,석고수정
TEST_161,훼손
TEST_162,훼손
TEST_163,오염
TEST_164,훼손
TEST_165,훼손
TEST_166,훼손
TEST_167,오염
TEST_168,훼손
TEST_169,훼손
TEST_170,훼손
TEST_171,훼손
TEST_172,훼손
TEST_173,오염
TEST_174,오염
TEST_175,꼬임
TEST_176,오염
TEST_177,오타공
TEST_178,오타공
TEST_179,꼬임
TEST_180,훼손
TEST_181,곰팡이
TEST_182,오염
TEST_183,걸레받이수정
TEST_184,오염
TEST_185,훼손
TEST_186,꼬임
TEST_187,훼손
TEST_188,꼬임
TEST_189,울음
TEST_190,꼬임
TEST_191,훼손
TEST_192,훼손
TEST_193,훼손
TEST_194,훼손
TEST_195,곰팡이
TEST_196,피스
TEST_197,터짐
TEST_198,오염
TEST_199,훼손
TEST_200,오염
TEST_201,꼬임
TEST_202,오염
TEST_203,훼손
TEST_204,"창틀,문틀수정"
TEST_205,꼬임
TEST_206,걸레받이수정
TEST_207,훼손
TEST_208,훼손
TEST_209,훼손
TEST_210,꼬임
TEST_211,훼손
TEST_212,훼손
TEST_213,오염
TEST_214,곰팡이
TEST_215,훼손
TEST_216,훼손
TEST_217,훼손
TEST_218,오염
TEST_219,오염
TEST_220,훼손
TEST_221,훼손
TEST_222,훼손
TEST_223,오염
TEST_224,훼손
TEST_225,오염
TEST_226,훼손
TEST_227,터짐
TEST_228,오염
TEST_229,훼손
TEST_230,훼손
TEST_231,오염
TEST_232,오염
TEST_233,오염
TEST_234,오염
TEST_235,훼손
TEST_236,꼬임
TEST_237,녹오염
TEST_238,오염
TEST_239,오염
TEST_240,훼손
TEST_241,훼손
TEST_242,오염
TEST_243,오염
TEST_244,훼손
TEST_245,오염
TEST_246,훼손
TEST_247,훼손
TEST_248,훼손
TEST_249,몰딩수정
TEST_250,오염
TEST_251,면불량
TEST_252,훼손
TEST_253,훼손
TEST_254,걸레받이수정
TEST_255,훼손
TEST_256,녹오염
TEST_257,몰딩수정
TEST_258,오염
TEST_259,훼손
TEST_260,오타공
TEST_261,오염
TEST_262,훼손
TEST_263,면불량
TEST_264,훼손
TEST_265,몰딩수정
TEST_266,면불량
TEST_267,꼬임
TEST_268,오염
TEST_269,터짐
TEST_270,훼손
TEST_271,걸레받이수정
TEST_272,오염
TEST_273,훼손
TEST_274,오타공
TEST_275,터짐
TEST_276,꼬임
TEST_277,꼬임
TEST_278,면불량
TEST_279,몰딩수정
TEST_280,오염
TEST_281,오염
TEST_282,녹오염
TEST_283,오염
TEST_284,오염
TEST_285,오염
TEST_286,훼손
TEST_287,터짐
TEST_288,훼손
TEST_289,훼손
TEST_290,오염
TEST_291,훼손
TEST_292,훼손
TEST_293,훼손
TEST_294,훼손
TEST_295,훼손
TEST_296,터짐
TEST_297,훼손
TEST_298,훼손
TEST_299,훼손
TEST_300,오염
TEST_301,훼손
TEST_302,면불량
TEST_303,훼손
TEST_304,오염
TEST_305,터짐
TEST_306,오타공
TEST_307,오염
TEST_308,훼손
TEST_309,훼손
TEST_310,훼손
TEST_311,피스
TEST_312,훼손
TEST_313,오염
TEST_314,오염
TEST_315,터짐
TEST_316,훼손
TEST_317,훼손
TEST_318,훼손
TEST_319,꼬임
TEST_320,곰팡이
TEST_321,몰딩수정
TEST_322,훼손
TEST_323,오염
TEST_324,곰팡이
TEST_325,면불량
TEST_326,오염
TEST_327,터짐
TEST_328,훼손
TEST_329,훼손
TEST_330,훼손
TEST_331,훼손
TEST_332,오염
TEST_333,훼손
TEST_334,오염
TEST_335,오염
TEST_336,훼손
TEST_337,훼손
TEST_338,오염
TEST_339,오염
TEST_340,오타공
TEST_341,훼손
TEST_342,훼손
TEST_343,피스
TEST_344,오염
TEST_345,훼손
TEST_346,터짐
TEST_347,오염
TEST_348,오염
TEST_349,꼬임
TEST_350,훼손
TEST_351,훼손
TEST_352,곰팡이
TEST_353,오염
TEST_354,오염
TEST_355,오염
TEST_356,훼손
TEST_357,곰팡이
TEST_358,걸레받이수정
TEST_359,훼손
TEST_360,오염
TEST_361,오염
TEST_362,걸레받이수정
TEST_363,훼손
TEST_364,오염
TEST_365,오염
TEST_366,오타공
TEST_367,훼손
TEST_368,훼손
TEST_369,오타공
TEST_370,피스
TEST_371,오염
TEST_372,오염
TEST_373,훼손
TEST_374,훼손
TEST_375,오염
TEST_376,훼손
TEST_377,훼손
TEST_378,훼손
TEST_379,오염
TEST_380,오염
TEST_381,훼손
TEST_382,오염
TEST_383,훼손
TEST_384,이음부불량
TEST_385,녹오염
TEST_386,오염
TEST_387,터짐
TEST_388,훼손
TEST_389,훼손
TEST_390,훼손
TEST_391,오염
TEST_392,면불량
TEST_393,오염
TEST_394,면불량
TEST_395,오염
TEST_396,오염
TEST_397,면불량
TEST_398,훼손
TEST_399,오염
TEST_400,훼손
TEST_401,터짐
TEST_402,훼손
TEST_403,훼손
TEST_404,꼬임
TEST_405,훼손
TEST_406,오염
TEST_407,들뜸
TEST_408,훼손
TEST_409,석고수정
TEST_410,면불량
TEST_411,훼손
TEST_412,훼손
TEST_413,곰팡이
TEST_414,오염
TEST_415,오염
TEST_416,오염
TEST_417,오염
TEST_418,몰딩수정
TEST_419,훼손
TEST_420,훼손
TEST_421,훼손
TEST_422,몰딩수정
TEST_423,오염
TEST_424,오염
TEST_425,오염
TEST_426,훼손
TEST_427,훼손
TEST_428,몰딩수정
TEST_429,면불량
TEST_430,면불량
TEST_431,훼손
TEST_432,터짐
TEST_433,훼손
TEST_434,피스
TEST_435,가구수정
TEST_436,오타공
TEST_437,터짐
TEST_438,훼손
TEST_439,오염
TEST_440,터짐
TEST_441,훼손
TEST_442,오염
TEST_443,곰팡이
TEST_444,오염
TEST_445,터짐
TEST_446,터짐
TEST_447,훼손
TEST_448,훼손
TEST_449,훼손
TEST_450,오염
TEST_451,오염
TEST_452,훼손
TEST_453,걸레받이수정
TEST_454,곰팡이
TEST_455,훼손
TEST_456,오염
TEST_457,걸레받이수정
TEST_458,몰딩수정
TEST_459,훼손
TEST_460,오염
TEST_461,훼손
TEST_462,꼬임
TEST_463,오타공
TEST_464,훼손
TEST_465,훼손
TEST_466,오염
TEST_467,훼손
TEST_468,석고수정
TEST_469,오염
TEST_470,곰팡이
TEST_471,훼손
TEST_472,오염
TEST_473,오염
TEST_474,오염
TEST_475,훼손
TEST_476,훼손
TEST_477,훼손
TEST_478,터짐
TEST_479,터짐
TEST_480,훼손
TEST_481,꼬임
TEST_482,오염
TEST_483,꼬임
TEST_484,몰딩수정
TEST_485,면불량
TEST_486,훼손
TEST_487,훼손
TEST_488,곰팡이
TEST_489,훼손
TEST_490,훼손
TEST_491,오타공
TEST_492,오염
TEST_493,훼손
TEST_494,가구수정
TEST_495,면불량
TEST_496,훼손
TEST_497,꼬임
TEST_498,오염
TEST_499,오염
TEST_500,오염
TEST_501,석고수정
TEST_502,훼손
TEST_503,피스
TEST_504,훼손
TEST_505,오염
TEST_506,훼손
TEST_507,몰딩수정
TEST_508,오염
TEST_509,훼손
TEST_510,오염
TEST_511,훼손
TEST_512,훼손
TEST_513,면불량
TEST_514,몰딩수정
TEST_515,오염
TEST_516,울음
TEST_517,오타공
TEST_518,곰팡이
TEST_519,오타공
TEST_520,오염
TEST_521,훼손
TEST_522,가구수정
TEST_523,꼬임
TEST_524,오타공
TEST_525,면불량
TEST_526,훼손
TEST_527,훼손
TEST_528,훼손
TEST_529,면불량
TEST_530,오염
TEST_531,오염
TEST_532,꼬임
TEST_533,훼손
TEST_534,이음부불량
TEST_535,훼손
TEST_536,오염
TEST_537,훼손
TEST_538,훼손
TEST_539,훼손
TEST_540,오염
TEST_541,터짐
TEST_542,오염
TEST_543,훼손
TEST_544,오염
TEST_545,훼손
TEST_546,훼손
TEST_547,오염
TEST_548,오염
TEST_549,걸레받이수정
TEST_550,오염
TEST_551,훼손
TEST_552,오타공
TEST_553,훼손
TEST_554,오염
TEST_555,몰딩수정
TEST_556,면불량
TEST_557,훼손
TEST_558,면불량
TEST_559,석고수정
TEST_560,석고수정
TEST_561,곰팡이
TEST_562,훼손
TEST_563,오염
TEST_564,훼손
TEST_565,오염
TEST_566,터짐
TEST_567,훼손
TEST_568,훼손
TEST_569,터짐
TEST_570,면불량
TEST_571,오염
TEST_572,훼손
TEST_573,훼손
TEST_574,훼손
TEST_575,훼손
TEST_576,훼손
TEST_577,오염
TEST_578,오염
TEST_579,오염
TEST_580,오염
TEST_581,오염
TEST_582,훼손
TEST_583,오염
TEST_584,훼손
TEST_585,훼손
TEST_586,오염
TEST_587,면불량
TEST_588,훼손
TEST_589,오염
TEST_590,몰딩수정
TEST_591,오염
TEST_592,훼손
TEST_593,오염
TEST_594,훼손
TEST_595,오염
TEST_596,오염
TEST_597,오염
TEST_598,곰팡이
TEST_599,오염
TEST_600,훼손
TEST_601,오염
TEST_602,오염
TEST_603,훼손
TEST_604,꼬임
TEST_605,훼손
TEST_606,훼손
TEST_607,꼬임
TEST_608,훼손
TEST_609,피스
TEST_610,오염
TEST_611,오염
TEST_612,오타공
TEST_613,훼손
TEST_614,오타공
TEST_615,오염
TEST_616,오타공
TEST_617,훼손
TEST_618,오염
TEST_619,훼손
TEST_620,곰팡이
TEST_621,석고수정
TEST_622,훼손
TEST_623,오염
TEST_624,훼손
TEST_625,면불량
TEST_626,오염
TEST_627,오염
TEST_628,오염
TEST_629,훼손
TEST_630,오염
TEST_631,꼬임
TEST_632,오염
TEST_633,훼손
TEST_634,훼손
TEST_635,훼손
TEST_636,훼손
TEST_637,훼손
TEST_638,꼬임
TEST_639,녹오염
TEST_640,오염
TEST_641,걸레받이수정
TEST_642,훼손
TEST_643,훼손
TEST_644,오염
TEST_645,곰팡이
TEST_646,훼손
TEST_647,터짐
TEST_648,훼손
TEST_649,면불량
TEST_650,훼손
TEST_651,훼손
TEST_652,훼손
TEST_653,녹오염
TEST_654,면불량
TEST_655,걸레받이수정
TEST_656,"창틀,문틀수정"
TEST_657,훼손
TEST_658,석고수정
TEST_659,오염
TEST_660,오염
TEST_661,오염
TEST_662,훼손
TEST_663,훼손
TEST_664,훼손
TEST_665,오염
TEST_666,꼬임
TEST_667,훼손
TEST_668,오염
TEST_669,훼손
TEST_670,훼손
TEST_671,면불량
TEST_672,오염
TEST_673,오염
TEST_674,훼손
TEST_675,오염
TEST_676,오타공
TEST_677,훼손
TEST_678,훼손
TEST_679,면불량
TEST_680,훼손
TEST_681,훼손
TEST_682,오염
TEST_683,꼬임
TEST_684,훼손
TEST_685,터짐
TEST_686,오염
TEST_687,석고수정
TEST_688,훼손
TEST_689,훼손
TEST_690,오타공
TEST_691,훼손
TEST_692,훼손
TEST_693,훼손
TEST_694,오염
TEST_695,석고수정
TEST_696,면불량
TEST_697,훼손
TEST_698,몰딩수정
TEST_699,틈새과다
TEST_700,오염
TEST_701,오염
TEST_702,훼손
TEST_703,"창틀,문틀수정"
TEST_704,몰딩수정
TEST_705,오염
TEST_706,훼손
TEST_707,면불량
TEST_708,몰딩수정
TEST_709,오염
TEST_710,훼손
TEST_711,오염
TEST_712,오염
TEST_713,훼손
TEST_714,훼손
TEST_715,훼손
TEST_716,오염
TEST_717,훼손
TEST_718,피스
TEST_719,훼손
TEST_720,오염
TEST_721,몰딩수정
TEST_722,들뜸
TEST_723,훼손
TEST_724,훼손
TEST_725,석고수정
TEST_726,면불량
TEST_727,훼손
TEST_728,오염
TEST_729,훼손
TEST_730,걸레받이수정
TEST_731,훼손
TEST_732,훼손
TEST_733,오염
TEST_734,터짐
TEST_735,훼손
TEST_736,오염
TEST_737,"창틀,문틀수정"
TEST_738,오염
TEST_739,꼬임
TEST_740,훼손
TEST_741,훼손
TEST_742,훼손
TEST_743,걸레받이수정
TEST_744,오염
TEST_745,훼손
TEST_746,몰딩수정
TEST_747,곰팡이
TEST_748,오염
TEST_749,훼손
TEST_750,훼손
TEST_751,오염
TEST_752,오염
TEST_753,터짐
TEST_754,오염
TEST_755,오염
TEST_756,오염
TEST_757,오염
TEST_758,오염
TEST_759,오타공
TEST_760,오염
TEST_761,훼손
TEST_762,곰팡이
TEST_763,오염
TEST_764,오염
TEST_765,몰딩수정
TEST_766,꼬임
TEST_767,오타공
TEST_768,곰팡이
TEST_769,오염
TEST_770,훼손
TEST_771,오염
TEST_772,훼손
TEST_773,훼손
TEST_774,걸레받이수정
TEST_775,훼손
TEST_776,훼손
TEST_777,훼손
TEST_778,훼손
TEST_779,훼손
TEST_780,훼손
TEST_781,훼손
TEST_782,훼손
TEST_783,훼손
TEST_784,훼손
TEST_785,훼손
TEST_786,훼손
TEST_787,꼬임
TEST_788,오염
TEST_789,오염
TEST_790,훼손
TEST_791,들뜸
